numero_departement;nom_commune;codes_postaux;latitude;longitude
4;Digne-les-Bains;4000;44.09;6.24
4;Entrages;4000;44.05;6.266667
4;Manosque;4100;43.833333;5.783333
4;Aubenas-les-Alpes;4110;43.933333;5.683333
4;Montfuron;4110;43.833333;5.7
4;Montjustin;4110;43.85;5.633333
4;Oppedette;4110;43.933333;5.6
4;Reillanne;4110;43.883333;5.666667
4;Sainte-Croix-a -Lauze;4110;43.916667;5.616667
4;Vacheres;4110;43.933333;5.633333
4;Villemus;4110;43.866667;5.7
4;Castellane;4120;43.85;6.516667
4;Demandolx;4120;43.866667;6.583333
4;La Garde;4120;43.833333;6.55
4;Peyroules;4120;43.816667;6.633333
4;Rougon;4120;43.8;6.4
4;Soleilhas;4120;43.85;6.65
4;Volx;4130;43.883333;5.85
4;Auzet;4140;44.3;6.3
4;Barles;4140;44.266667;6.266667
4;Le Vernet;4140;44.283333;6.4
4;Montclar;4140;44.4;6.333333
4;Seyne;4140;44.35;6.35
4;Verdaches;4140;44.266667;6.333333
4;Banon;4150;44.033333;5.633333
4;La Rochegiron;4150;44.083333;5.65
4;L'Hospitalet;4150;44.083333;5.7
4;Revest-des-Brousses;4150;43.966667;5.666667
4;Revest-du-Bion;4150;44.083333;5.55
4;Saumane;4150;44.083333;5.683333
4;Simiane-la-Rotonde;4150;43.983333;5.566667
4;Chateau-Arnoux-Saint-Auban;4160;44.09;6.01
4;L'Escale;4160;44.083333;6.033333
4;Allons;4170;43.966667;6.6
4;Angles;4170;43.933333;6.566667
4;Lambruisse;4170;44.05;6.433333
4;Moriez;4170;43.95;6.466667
4;Saint-Andre-les-Alpes;4170;43.966667;6.5
4;Saint-Julien-du-Verdon;4170;43.916667;6.533333
4;Thorame-Basse;4170;44.083333;6.5
4;Thorame-Haute;4170;44.1;6.55
4;Vergons;4170;43.916667;6.583333
4;Villeneuve;4180;43.9;5.866667
4;Les Mees;4190;44.033333;5.983333
4;Aubignosc;4200;44.133333;5.966667
4;Authon;4200;44.233333;6.133333
4;Bevons;4200;44.183333;5.9
4;Chateauneuf-Miravail;4200;44.15;5.716667
4;Chateauneuf-Val-Saint-Donat;4200;44.1;5.95
4;Curel;4200;44.183333;5.666667
4;Entrepierres;4200;44.2;5.983333
4;Les Omergues;4200;44.166667;5.6
4;Mison;4200;44.266667;5.833333
4;Noyers-sur-Jabron;4200;44.166667;5.833333
4;Peipin;4200;44.133333;5.95
4;Saint-Geniez;4200;44.25;6.05
4;Saint-Vincent-sur-Jabron;4200;44.166667;5.733333
4;Sigoyer;4200;44.316667;5.95
4;Sisteron;4200;44.2;5.933333
4;Theze;4200;44.316667;5.916667
4;Valbelle;4200;44.15;5.883333
4;Valernes;4200;44.266667;5.966667
4;Vaumeilh;4200;44.283333;5.95
4;Brunet;4210;43.9;6.033333
4;Valensole;4210;43.833333;5.983333
4;Corbieres;4220;43.766667;5.75
4;Sainte-Tulle;4220;43.783333;5.766667
4;Cruis;4230;44.066667;5.833333
4;Fontienne;4230;44.016667;5.8
4;Lardiers;4230;44.05;5.716667
4;Ongles;4230;44.033333;5.733333
4;Revest-Saint-Martin;4230;44.033333;5.816667
4;Saint-Etienne-les-Orgues;4230;44.05;5.783333
4;Annot;4240;43.966667;6.666667
4;Braux;4240;43.983333;6.683333
4;Le Fugeret;4240;44,0000000;6.633333
4;Meailles;4240;44.033333;6.633333
4;Saint-Benoit;4240;43.966667;6.733333
